Area,Item,Year,Value
United States of America,Agriculture total,1961,8771.6993
United States of America,Enteric Fermentation,1961,6876.7867
United States of America,Manure Management,1961,1583.0819
United States of America,Rice Cultivation,1961,225.05
United States of America,Burning - Crop residues,1961,86.7807
Canada,Agriculture total,1961,1037.4142
Canada,Enteric Fermentation,1961,814.5455
Canada,Manure Management,1961,211.367
Canada,Burning - Crop residues,1961,11.5018
World,Agriculture total,1961,90652.061
World,Enteric Fermentation,1961,65354.8986
World,Manure Management,1961,7178.1744
World,Rice Cultivation,1961,17426.473
World,Burning - Crop residues,1961,692.515
World,Burning - Crop residues,1962,696.8239
World,Rice Cultivation,1962,18052.8117
World,Manure Management,1962,7345.0529
World,Enteric Fermentation,1962,66309.6152
World,Agriculture total,1962,92404.3037
Canada,Burning - Crop residues,1962,12.2012
Canada,Manure Management,1962,211.1611
Canada,Enteric Fermentation,1962,823.547
Canada,Agriculture total,1962,1046.9093
United States of America,Burning - Crop residues,1962,81.3856
United States of America,Rice Cultivation,1962,250.95
United States of America,Manure Management,1962,1634.2182
United States of America,Enteric Fermentation,1962,6980.14
United States of America,Agriculture total,1962,8946.6938
United States of America,Agriculture total,1963,9093.2366
United States of America,Enteric Fermentation,1963,7136.368
United States of America,Manure Management,1963,1619.8426
United States of America,Rice Cultivation,1963,250.95
United States of America,Burning - Crop residues,1963,86.0761
Canada,Agriculture total,1963,1055.184
Canada,Enteric Fermentation,1963,834.5022
Canada,Manure Management,1963,208.0296
Canada,Burning - Crop residues,1963,12.6522
World,Agriculture total,1963,93188.693
World,Enteric Fermentation,1963,67018.8014
World,Manure Management,1963,7390.5096
World,Rice Cultivation,1963,18069.7191
World,Burning - Crop residues,1963,709.663
World,Burning - Crop residues,1964,727.3435
World,Rice Cultivation,1964,18809.7617
World,Manure Management,1964,7375.4298
World,Enteric Fermentation,1964,67934.0813
World,Agriculture total,1964,94846.6162
Canada,Burning - Crop residues,1964,13.6951
Canada,Manure Management,1964,212.5859
Canada,Enteric Fermentation,1964,857.8664
Canada,Agriculture total,1964,1084.1474
United States of America,Burning - Crop residues,1964,83.8071
United States of America,Rice Cultivation,1964,253.05
United States of America,Manure Management,1964,1588.9208
United States of America,Enteric Fermentation,1964,7251.5884
