Year,Atot,EF,MM,RC,BC
1961,8771.6993,6876.7867,1583.0819,225.05,86.7807
1962,8946.6938,6980.14,1634.2182,250.95,81.3856
1963,9093.2366,7136.368,1619.8426,250.95,86.0761
1964,9177.3664,7251.5884,1588.9208,253.05,83.8071
1965,9084.8934,7253.3471,1493.9325,253.9145,83.6993
1966,8929.103,7171.6855,1393.1952,278.6301,85.5922
1967,8934.7227,7125.091,1437.1412,279.041,93.4495
1968,8953.0426,7105.9045,1426.8616,333.3309,86.9456
1969,8908.5042,7100.0029,1425.1446,301.4624,81.8943
1970,8906.4837,7192.3385,1373.8982,257.0306,83.2165
1971,9143.3818,7312.4556,1480.9856,257.4838,92.4568
1972,9225.4331,7458.4141,1424.4296,257.4838,85.1057
1973,9395.8432,7619.411,1375.6535,307.3829,93.3958
1974,9778.854,7928.455,1389.8377,358.4857,102.0756
1975,9951.6562,8122.9585,1323.0544,399.1358,106.5075
1976,9601.5935,7882.7585,1256.423,351.2621,111.1499
1977,9343.8414,7606.8268,1309.1778,318.5525,109.2844
1978,9100.718,7258.6759,1315.7663,420.6755,105.6003
1979,8834.3188,6967.0824,1352.2176,406.371,108.6478
1980,9020.6582,7006.024,1432.2123,469.105,113.3169
1981,9242.7052,7176.1704,1409.9429,537.103,119.4888
1982,9165.6818,7234.838,1352.8028,462.035,116.006
1983,8902.8392,7202.4314,1308.264,307.2125,84.9312
1984,8919.9029,7094.632,1318.3478,396.9,110.0231
1985,8661.2401,6899.2465,1296.5182,352.975,112.5004
1986,8358.7961,6654.728,1266.0212,334.25,103.7969
1987,8099.8692,6446.555,1231.4186,330.435,91.4606
1988,8078.733,6316.81,1261.9257,410.76,89.2373
1989,7896.7558,6151.979,1264.1439,380.45,100.1829
1990,7879.2294,6100.821,1245.5765,399.84,105.6187
1991,7929.7109,6123.3945,1282.2683,393.904,102.771
1992,8038.2392,6173.715,1284.8036,443.6215,108.7259
1993,8053.6353,6246.3551,1280.0856,401.2715,98.5499
1994,8239.5873,6334.5251,1299.1184,469.6825,108.8882
1995,8269.7446,6419.1683,1284.6713,438.0985,100.4333
1996,8245.35,6445.8603,1260.7165,397.1625,109.139
1997,8212.4406,6339.6906,1309.3658,439.5125,109.3648
1998,8137.3915,6230.7283,1314.1246,461.328,107.7335
1999,8100.1634,6191.403,1283.2702,497.4445,103.3581
2000,7992.2583,6146.0134,1284.3399,430.4475,104.904
2001,7962.4395,6096.5949,1287.8563,469.399,99.0477
2002,7943.4504,6075.5116,1289.2513,454.244,98.4364
2003,7904.1935,6055.0728,1296.1898,424.501,103.2157
2004,7909.4273,6001.7445,1293.1783,470.9565,104.9581
2005,7978.2887,6035.2215,1303.1165,476.483,106.6527
2006,7987.6019,6138.1731,1315.774,399.5705,99.9711
2007,8011.2669,6137.0377,1330.5005,389.2315,119.1033
2008,8079.2156,6125.3537,1397.5252,421.526,112.5996
2009,7974.7422,6045.9348,1351.2912,439.5125,111.1477
2010,7996.7623,6008.5861,1348.2574,512.0325,112.6013
2011,7856.6867,5954.5384,1366.2933,370.6745,113.8198
2012,7758.1792,5865.1366,1365.8545,379.456,119.0928
2013,7634.9211,5805.0675,1348.6339,349.713,117.4982
2014,7656.8836,5728.0325,1382.9875,415.436,113.4924
2015,7668.9413,5766.9349,1396.9733,364.728,110.9923
2016,7930.9156,5922.0989,1430.8441,438.662,116.4542
2017,7950.5177,6022.3294,1455.6968,336.2555,108.8629
