Year,Atot,EF,MM,RC,BC
1961,90652.061,65354.8986,7178.1744,17426.473,692.515
1962,92404.3037,66309.6152,7345.0529,18052.8117,696.8239
1963,93188.693,67018.8014,7390.5096,18069.7191,709.663
1964,94846.6162,67934.0813,7375.4298,18809.7617,727.3435
1965,96170.8303,69201.5444,7460.9229,18782.7874,725.5756
1966,98014.3746,70711.4642,7500.3078,19064.3793,738.2234
1967,99818.7778,72114.4443,7713.3139,19243.2004,747.8192
1968,101281.5473,73189.3077,7777.1246,19561.9376,753.1774
1969,101806.8491,73528.6849,7764.8728,19765.1368,748.1545
1970,102525.3531,73937.2094,7814.5448,20026.8553,746.7436
1971,104258.9437,74961.5496,8140.923,20387.1506,769.3205
1972,105276.9642,76213.4314,8260.1541,20046.7638,756.615
1973,107016.6957,77183.8657,8335.1433,20722.6368,775.0499
1974,109098.7236,79013.0185,8433.5349,20864.4344,787.7358
1975,111013.6256,80337.3937,8397.6923,21473.9111,804.6285
1976,111626.3696,81028.899,8343.3724,21432.83,821.2682
1977,112235.2056,81263.3714,8500.591,21649.9988,821.2444
1978,112568.1144,81439.6559,8618.3132,21688.2406,821.9048
1979,112878.3815,81928.4161,8776.2209,21359.4953,814.2492
1980,114491.6833,82896.8396,8981.5539,21779.6942,833.5956
1981,115350.0964,83659.7476,8968.7627,21878.5556,843.0306
1982,115788.9229,84611.9965,8971.9269,21374.9261,830.0735
1983,116328.587,85121.8918,8979.6109,21421.0833,806.001
1984,117289.5821,85646.1137,9088.7421,21718.8899,835.8364
1985,117672.0874,86046.2996,9117.4844,21666.078,842.2254
1986,118495.8783,86764.5993,9210.0411,21677.0816,844.1563
1987,118100.7867,86836.4769,9178.2382,21258.4562,827.6153
1988,119299.8147,87310.1542,9202.122,21954.4908,833.0477
1989,121027.0615,88520.5026,9269.6152,22386.0139,850.9299
1990,127110.5902,89072.7867,9262.6981,22173.3481,851.2251
1991,126962.9438,89021.0633,9248.8137,22090.7868,851.7479
1992,126329.7886,88418.3776,9078.6268,22222.6679,859.5842
1993,125705.0551,88044.0585,9013.9696,22053.9724,842.5226
1994,126642.7774,88740.4479,9044.5986,22252.4758,854.723
1995,127290.1604,89000.3532,9014.6546,22669.7118,854.9087
1996,126477.5671,88955.8047,9005.3536,22923.0125,875.9899
1997,124679.2325,87356.7098,8837.5582,23054.8384,884.6345
1998,125530.5763,87472.6277,8858.2853,22935.6257,871.9649
1999,126756.5074,87683.7125,8871.8174,23837.152,867.4036
2000,126885.9268,88053.862,8875.6267,23331.456,864.5419
2001,127800.5536,88102.9725,8846.9007,23023.939,862.6801
2002,128361.7765,88896.1954,8936.4606,22515.3008,858.4774
2003,128077.2919,89923.3519,9008.7617,22461.5696,870.9164
2004,130195.8856,90970.9921,9041.8799,22963.7922,890.4303
2005,131313.1346,91917.904,9112.6928,23481.1348,904.6106
2006,132367.734,92692.6317,9220.7867,23561.5974,897.3157
2007,133698.8705,93473.3539,9298.3265,23597.1131,931.7087
2008,134307.8077,94098.5507,9389.8581,24245.557,960.7144
2009,134065.7759,94472.5909,9410.3334,24164.887,948.0683
2010,135301.1351,94615.9823,9459.306,24674.9991,957.2471
2011,137564.1101,95063.8264,9455.4546,24764.1807,986.8199
2012,137966.0283,95724.5747,9533.3324,24760.8864,1007.8253
2013,136537.4784,96148.8224,9555.1204,25033.5346,1033.647
2014,137362.1957,96704.915,9658.2271,24854.3663,1030.3634
2015,138988.6679,98417.8333,9773.1117,24585.8111,1043.7791
2016,140387.4134,99698.3556,9876.5239,25016.0441,1057.2772
2017,142104.4863,100003.6388,9895.2903,25392.642,1062.383
